party id,num parties,db l1,db l2,wall time,comp time,upload (byte),download (byte)
0, 2, 16384, 16384, 129.173359ms, 6.965ms, 12566, 12572
1, 2, 16384, 16384, 171.787575ms, 7.135ms, 12572, 12566
1, 2, 16384, 16384, 125.3504ms, 3.402ms, 12566, 12566
0, 2, 16384, 16384, 166.040216ms, 3.643ms, 12566, 12566
0, 2, 16384, 16384, 124.571354ms, 3.127ms, 12566, 12566
1, 2, 16384, 16384, 165.459033ms, 3.338ms, 12566, 12566
1, 2, 16384, 16384, 123.398768ms, 2.076ms, 12566, 12566
0, 2, 16384, 16384, 162.548739ms, 3.421ms, 12566, 12566
0, 2, 16384, 16384, 122.512092ms, 2.156ms, 12566, 12566
1, 2, 16384, 16384, 162.338083ms, 2.149ms, 12566, 12566
0, 2, 16384, 8192, 126.966689ms, 5.455ms, 8450, 8456
1, 2, 16384, 8192, 168.678818ms, 5.749ms, 8456, 8450
1, 2, 16384, 8192, 124.486034ms, 2.437ms, 8450, 8450
0, 2, 16384, 8192, 165.595639ms, 1.596ms, 8450, 8450
0, 2, 16384, 8192, 124.012163ms, 2.273ms, 8450, 8450
1, 2, 16384, 8192, 165.862271ms, 2.576ms, 8450, 8450
1, 2, 16384, 8192, 125.457932ms, 2.44ms, 8450, 8450
0, 2, 16384, 8192, 166.468792ms, 2.379ms, 8450, 8450
0, 2, 16384, 8192, 123.766731ms, 1.668ms, 8450, 8450
1, 2, 16384, 8192, 164.943754ms, 2.518ms, 8450, 8450
0, 2, 32768, 32768, 134.523281ms, 13.372ms, 24926, 24932
1, 2, 32768, 32768, 180.634024ms, 13.528ms, 24932, 24926
1, 2, 32768, 32768, 132.39056ms, 8.264ms, 24926, 24926
0, 2, 32768, 32768, 170.496517ms, 11.092ms, 24926, 24926
0, 2, 32768, 32768, 134.55973ms, 10.063ms, 24926, 24926
1, 2, 32768, 32768, 169.977241ms, 11.061ms, 24926, 24926
1, 2, 32768, 32768, 135.370354ms, 5.743ms, 24926, 24926
0, 2, 32768, 32768, 164.311285ms, 11.154ms, 24926, 24926
0, 2, 32768, 32768, 139.672797ms, 6.398ms, 24926, 24926
1, 2, 32768, 32768, 160.01292ms, 10.984ms, 24926, 24926
0, 2, 32768, 16384, 132.403605ms, 9.85ms, 16698, 16704
1, 2, 32768, 16384, 170.035269ms, 10.047ms, 16704, 16698
1, 2, 32768, 16384, 128.563994ms, 6.222ms, 16698, 16698
0, 2, 32768, 16384, 167.497808ms, 6.766ms, 16698, 16698
0, 2, 32768, 16384, 127.832727ms, 2.993ms, 16698, 16698
1, 2, 32768, 16384, 164.582983ms, 3.179ms, 16698, 16698
1, 2, 32768, 16384, 128.410926ms, 6.058ms, 16698, 16698
0, 2, 32768, 16384, 162.502452ms, 3.34ms, 16698, 16698
0, 2, 32768, 16384, 129.843339ms, 6.643ms, 16698, 16698
1, 2, 32768, 16384, 167.048401ms, 6.549ms, 16698, 16698
2, 4, 16384, 16384, 155.809675ms, 15.085ms, 37710, 37704
3, 4, 16384, 16384, 182.99919ms, 13.82ms, 37716, 37698
1, 4, 16384, 16384, 197.601784ms, 13.941ms, 37704, 37710
0, 4, 16384, 16384, 235.148418ms, 13.993ms, 37698, 37716
1, 4, 16384, 16384, 151.355108ms, 10.23ms, 37698, 37698
2, 4, 16384, 16384, 151.923817ms, 10.388ms, 37698, 37698
3, 4, 16384, 16384, 151.369275ms, 10.18ms, 37698, 37698
0, 4, 16384, 16384, 151.038823ms, 10.254ms, 37698, 37698
3, 4, 16384, 16384, 152.554933ms, 9.767ms, 37698, 37698
1, 4, 16384, 16384, 152.577205ms, 9.951ms, 37698, 37698
2, 4, 16384, 16384, 152.582514ms, 9.985ms, 37698, 37698
0, 4, 16384, 16384, 152.222568ms, 9.906ms, 37698, 37698
3, 4, 16384, 16384, 151.596251ms, 10.068ms, 37698, 37698
1, 4, 16384, 16384, 151.600058ms, 10.25ms, 37698, 37698
2, 4, 16384, 16384, 151.595069ms, 10.283ms, 37698, 37698
0, 4, 16384, 16384, 151.258055ms, 10.143ms, 37698, 37698
3, 4, 16384, 16384, 151.743327ms, 9.854ms, 37698, 37698
1, 4, 16384, 16384, 151.749329ms, 10.105ms, 37698, 37698
2, 4, 16384, 16384, 151.741283ms, 10.137ms, 37698, 37698
0, 4, 16384, 16384, 151.42594ms, 10.06ms, 37698, 37698
3, 4, 16384, 8192, 177.304201ms, 12.742ms, 25368, 25350
2, 4, 16384, 8192, 154.303593ms, 10.707ms, 25362, 25356
1, 4, 16384, 8192, 195.285619ms, 12.74ms, 25356, 25362
0, 4, 16384, 8192, 230.731764ms, 11.729ms, 25350, 25368
3, 4, 16384, 8192, 148.827824ms, 7.231ms, 25350, 25350
2, 4, 16384, 8192, 148.827172ms, 7.253ms, 25350, 25350
1, 4, 16384, 8192, 148.873389ms, 7.463ms, 25350, 25350
0, 4, 16384, 8192, 148.345947ms, 4.681ms, 25350, 25350
1, 4, 16384, 8192, 148.201587ms, 6.96ms, 25350, 25350
2, 4, 16384, 8192, 148.246501ms, 7.05ms, 25350, 25350
3, 4, 16384, 8192, 148.247784ms, 6.955ms, 25350, 25350
0, 4, 16384, 8192, 147.792057ms, 7.003ms, 25350, 25350
2, 4, 16384, 8192, 149.090456ms, 7.14ms, 25350, 25350
1, 4, 16384, 8192, 149.120833ms, 6.661ms, 25350, 25350
3, 4, 16384, 8192, 149.034261ms, 6.962ms, 25350, 25350
0, 4, 16384, 8192, 148.620543ms, 6.423ms, 25350, 25350
3, 4, 16384, 8192, 145.390721ms, 3.558ms, 25350, 25350
1, 4, 16384, 8192, 145.406882ms, 4.171ms, 25350, 25350
2, 4, 16384, 8192, 145.404598ms, 4.04ms, 25350, 25350
0, 4, 16384, 8192, 144.991181ms, 3.627ms, 25350, 25350
3, 4, 32768, 32768, 183.292042ms, 13.977ms, 74796, 74778
1, 4, 32768, 32768, 200.275993ms, 14.254ms, 74784, 74790
2, 4, 32768, 32768, 156.087437ms, 15.415ms, 74790, 74784
0, 4, 32768, 32768, 235.556777ms, 15.658ms, 74778, 74796
1, 4, 32768, 32768, 152.333548ms, 11.425ms, 74778, 74778
3, 4, 32768, 32768, 152.372451ms, 11.568ms, 74778, 74778
2, 4, 32768, 32768, 152.337396ms, 11.536ms, 74778, 74778
0, 4, 32768, 32768, 152.000993ms, 11.383ms, 74778, 74778
3, 4, 32768, 32768, 157.925985ms, 16.991ms, 74778, 74778
2, 4, 32768, 32768, 157.925395ms, 16.87ms, 74778, 74778
1, 4, 32768, 32768, 157.927038ms, 17.065ms, 74778, 74778
0, 4, 32768, 32768, 157.628937ms, 16.897ms, 74778, 74778
3, 4, 32768, 32768, 158.655778ms, 16.809ms, 74778, 74778
2, 4, 32768, 32768, 158.655006ms, 16.675ms, 74778, 74778
1, 4, 32768, 32768, 158.651129ms, 16.762ms, 74778, 74778
0, 4, 32768, 32768, 158.343691ms, 17.014ms, 74778, 74778
1, 4, 32768, 32768, 160.621025ms, 18.844ms, 74778, 74778
3, 4, 32768, 32768, 160.630022ms, 18.568ms, 74778, 74778
2, 4, 32768, 32768, 160.638708ms, 18.499ms, 74778, 74778
0, 4, 32768, 32768, 160.157803ms, 18.914ms, 74778, 74778
3, 4, 32768, 16384, 185.094241ms, 16.847ms, 50112, 50094
1, 4, 32768, 16384, 204.551325ms, 15.602ms, 50100, 50106
2, 4, 32768, 16384, 158.283998ms, 15.239ms, 50106, 50100
0, 4, 32768, 16384, 240.092278ms, 15.728ms, 50094, 50112
2, 4, 32768, 16384, 153.982289ms, 13.582ms, 50094, 50094
3, 4, 32768, 16384, 155.767025ms, 13.502ms, 50094, 50094
1, 4, 32768, 16384, 154.034937ms, 13.661ms, 50094, 50094
0, 4, 32768, 16384, 153.67985ms, 13.435ms, 50094, 50094
3, 4, 32768, 16384, 155.245054ms, 13.175ms, 50094, 50094
1, 4, 32768, 16384, 155.270772ms, 13.048ms, 50094, 50094
2, 4, 32768, 16384, 155.286571ms, 12.95ms, 50094, 50094
0, 4, 32768, 16384, 154.86608ms, 13.207ms, 50094, 50094
1, 4, 32768, 16384, 146.438931ms, 5.934ms, 50094, 50094
2, 4, 32768, 16384, 146.420697ms, 5.962ms, 50094, 50094
3, 4, 32768, 16384, 146.452247ms, 6.177ms, 50094, 50094
0, 4, 32768, 16384, 146.1617ms, 6.144ms, 50094, 50094
1, 4, 32768, 16384, 153.418017ms, 12.347ms, 50094, 50094
2, 4, 32768, 16384, 153.415903ms, 12.395ms, 50094, 50094
3, 4, 32768, 16384, 153.454967ms, 12.46ms, 50094, 50094
0, 4, 32768, 16384, 153.112062ms, 12.295ms, 50094, 50094
4, 8, 16384, 16384, 239.110471ms, 17.545ms, 87986, 87980
5, 8, 16384, 16384, 199.144286ms, 17.871ms, 87992, 87974
6, 8, 16384, 16384, 160.534631ms, 18.14ms, 87998, 87968
2, 8, 16384, 16384, 318.749069ms, 18.63ms, 87974, 87992
1, 8, 16384, 16384, 360.106993ms, 16.766ms, 87968, 87998
3, 8, 16384, 16384, 279.451913ms, 18.17ms, 87980, 87986
7, 8, 16384, 16384, 180.36683ms, 18.196ms, 88004, 87962
0, 8, 16384, 16384, 402.326847ms, 16.907ms, 87962, 88004
7, 8, 16384, 16384, 155.685883ms, 12.697ms, 87962, 87962
4, 8, 16384, 16384, 155.717903ms, 12.791ms, 87962, 87962
2, 8, 16384, 16384, 155.749212ms, 12.486ms, 87962, 87962
6, 8, 16384, 16384, 155.747418ms, 13.68ms, 87962, 87962
1, 8, 16384, 16384, 155.760823ms, 12.287ms, 87962, 87962
5, 8, 16384, 16384, 155.835915ms, 12.81ms, 87962, 87962
3, 8, 16384, 16384, 155.900777ms, 13.78ms, 87962, 87962
0, 8, 16384, 16384, 155.337849ms, 12.498ms, 87962, 87962
2, 8, 16384, 16384, 154.499452ms, 12.065ms, 87962, 87962
1, 8, 16384, 16384, 154.479885ms, 11.238ms, 87962, 87962
5, 8, 16384, 16384, 154.414461ms, 11.029ms, 87962, 87962
4, 8, 16384, 16384, 154.523176ms, 11.395ms, 87962, 87962
7, 8, 16384, 16384, 154.542993ms, 11.472ms, 87962, 87962
6, 8, 16384, 16384, 154.533967ms, 12.58ms, 87962, 87962
3, 8, 16384, 16384, 154.425633ms, 12.675ms, 87962, 87962
0, 8, 16384, 16384, 154.272615ms, 12.782ms, 87962, 87962
1, 8, 16384, 16384, 156.623876ms, 13.817ms, 87962, 87962
7, 8, 16384, 16384, 156.606153ms, 13.207ms, 87962, 87962
5, 8, 16384, 16384, 156.618976ms, 13.843ms, 87962, 87962
6, 8, 16384, 16384, 156.607967ms, 13.12ms, 87962, 87962
3, 8, 16384, 16384, 156.553824ms, 13.222ms, 87962, 87962
4, 8, 16384, 16384, 156.629466ms, 12.835ms, 87962, 87962
2, 8, 16384, 16384, 156.658992ms, 13.243ms, 87962, 87962
0, 8, 16384, 16384, 156.106994ms, 13.064ms, 87962, 87962
2, 8, 16384, 16384, 154.231027ms, 13.079ms, 87962, 87962
5, 8, 16384, 16384, 154.24323ms, 12.477ms, 87962, 87962
1, 8, 16384, 16384, 154.268046ms, 12.923ms, 87962, 87962
7, 8, 16384, 16384, 154.249782ms, 12.195ms, 87962, 87962
3, 8, 16384, 16384, 154.263608ms, 12.636ms, 87962, 87962
6, 8, 16384, 16384, 154.299045ms, 13.135ms, 87962, 87962
0, 8, 16384, 16384, 153.810206ms, 12.697ms, 87962, 87962
4, 8, 16384, 16384, 155.136771ms, 13.512ms, 87962, 87962
4, 8, 16384, 8192, 240.008068ms, 11.343ms, 59174, 59168
1, 8, 16384, 8192, 360.803492ms, 11.012ms, 59156, 59186
7, 8, 16384, 8192, 181.463262ms, 9.817ms, 59192, 59150
3, 8, 16384, 8192, 278.618715ms, 14.448ms, 59168, 59174
6, 8, 16384, 8192, 155.90309ms, 10.331ms, 59186, 59156
2, 8, 16384, 8192, 315.106168ms, 12.603ms, 59162, 59180
5, 8, 16384, 8192, 200.33303ms, 14.9ms, 59180, 59162
0, 8, 16384, 8192, 400.846621ms, 11.797ms, 59150, 59192
5, 8, 16384, 8192, 152.264518ms, 10.467ms, 59150, 59150
1, 8, 16384, 8192, 152.306877ms, 10.349ms, 59150, 59150
7, 8, 16384, 8192, 152.309814ms, 8.59ms, 59150, 59150
2, 8, 16384, 8192, 152.305786ms, 6.303ms, 59150, 59150
6, 8, 16384, 8192, 152.319952ms, 10.447ms, 59150, 59150
3, 8, 16384, 8192, 152.35035ms, 10.371ms, 59150, 59150
0, 8, 16384, 8192, 151.938305ms, 10.146ms, 59150, 59150
4, 8, 16384, 8192, 153.001153ms, 10.771ms, 59150, 59150
2, 8, 16384, 8192, 152.961038ms, 11.136ms, 59150, 59150
3, 8, 16384, 8192, 152.944247ms, 10.388ms, 59150, 59150
4, 8, 16384, 8192, 152.318279ms, 10.839ms, 59150, 59150
1, 8, 16384, 8192, 153.008949ms, 10.771ms, 59150, 59150
6, 8, 16384, 8192, 152.939608ms, 10.419ms, 59150, 59150
7, 8, 16384, 8192, 153.047901ms, 10.21ms, 59150, 59150
5, 8, 16384, 8192, 153.256564ms, 10.544ms, 59150, 59150
0, 8, 16384, 8192, 152.605139ms, 7.364ms, 59150, 59150
7, 8, 16384, 8192, 161.202037ms, 11.591ms, 59150, 59150
6, 8, 16384, 8192, 161.249095ms, 8.801ms, 59150, 59150
5, 8, 16384, 8192, 153.492498ms, 11.379ms, 59150, 59150
4, 8, 16384, 8192, 161.28913ms, 11.724ms, 59150, 59150
1, 8, 16384, 8192, 161.2938ms, 12.2ms, 59150, 59150
2, 8, 16384, 8192, 161.332241ms, 11.35ms, 59150, 59150
3, 8, 16384, 8192, 161.342621ms, 10.775ms, 59150, 59150
0, 8, 16384, 8192, 153.486497ms, 11.673ms, 59150, 59150
6, 8, 16384, 8192, 154.117242ms, 11.463ms, 59150, 59150
7, 8, 16384, 8192, 154.117321ms, 11.082ms, 59150, 59150
3, 8, 16384, 8192, 154.098567ms, 10.99ms, 59150, 59150
2, 8, 16384, 8192, 154.085782ms, 11.212ms, 59150, 59150
1, 8, 16384, 8192, 154.134764ms, 11.473ms, 59150, 59150
4, 8, 16384, 8192, 154.177956ms, 11.202ms, 59150, 59150
5, 8, 16384, 8192, 154.210717ms, 11.068ms, 59150, 59150
0, 8, 16384, 8192, 153.712461ms, 11.672ms, 59150, 59150
6, 8, 32768, 32768, 175.626285ms, 26.787ms, 174518, 174488
5, 8, 32768, 32768, 220.804834ms, 29.467ms, 174512, 174494
1, 8, 32768, 32768, 384.8725ms, 27.616ms, 174488, 174518
2, 8, 32768, 32768, 339.423503ms, 29.804ms, 174494, 174512
0, 8, 32768, 32768, 421.289189ms, 31.246ms, 174482, 174524
7, 8, 32768, 32768, 205.328256ms, 31.305ms, 174524, 174482
3, 8, 32768, 32768, 300.895202ms, 27.791ms, 174500, 174506
4, 8, 32768, 32768, 249.778535ms, 28.301ms, 174506, 174500
7, 8, 32768, 32768, 167.64283ms, 27.208ms, 174482, 174482
1, 8, 32768, 32768, 167.643301ms, 25.055ms, 174482, 174482
5, 8, 32768, 32768, 167.657007ms, 27.136ms, 174482, 174482
4, 8, 32768, 32768, 167.658149ms, 25.197ms, 174482, 174482
3, 8, 32768, 32768, 167.70659ms, 25.031ms, 174482, 174482
2, 8, 32768, 32768, 167.727981ms, 25.019ms, 174482, 174482
6, 8, 32768, 32768, 167.723992ms, 24.41ms, 174482, 174482
0, 8, 32768, 32768, 167.83435ms, 24.592ms, 174482, 174482
6, 8, 32768, 32768, 169.607876ms, 25.17ms, 174482, 174482
7, 8, 32768, 32768, 169.656818ms, 27.338ms, 174482, 174482
5, 8, 32768, 32768, 169.694429ms, 24.862ms, 174482, 174482
4, 8, 32768, 32768, 169.737169ms, 24.872ms, 174482, 174482
3, 8, 32768, 32768, 169.700049ms, 24.94ms, 174482, 174482
2, 8, 32768, 32768, 169.749142ms, 25.296ms, 174482, 174482
0, 8, 32768, 32768, 169.271814ms, 27.516ms, 174482, 174482
1, 8, 32768, 32768, 170.274069ms, 25.126ms, 174482, 174482
6, 8, 32768, 32768, 169.016212ms, 27.661ms, 174482, 174482
5, 8, 32768, 32768, 169.018708ms, 27.734ms, 174482, 174482
7, 8, 32768, 32768, 169.022234ms, 27.06ms, 174482, 174482
4, 8, 32768, 32768, 169.03063ms, 27.637ms, 174482, 174482
1, 8, 32768, 32768, 168.516062ms, 28.082ms, 174482, 174482
2, 8, 32768, 32768, 168.976389ms, 27.39ms, 174482, 174482
3, 8, 32768, 32768, 169.047421ms, 27.474ms, 174482, 174482
0, 8, 32768, 32768, 168.781772ms, 27.549ms, 174482, 174482
7, 8, 32768, 32768, 168.919121ms, 23.992ms, 174482, 174482
1, 8, 32768, 32768, 168.917098ms, 26.648ms, 174482, 174482
2, 8, 32768, 32768, 168.910244ms, 24.818ms, 174482, 174482
5, 8, 32768, 32768, 168.951072ms, 28.202ms, 174482, 174482
3, 8, 32768, 32768, 168.925643ms, 26.415ms, 174482, 174482
6, 8, 32768, 32768, 168.983021ms, 23.614ms, 174482, 174482
4, 8, 32768, 32768, 169.029679ms, 26.535ms, 174482, 174482
0, 8, 32768, 32768, 168.325224ms, 24.752ms, 174482, 174482
1, 8, 32768, 16384, 366.839885ms, 21.307ms, 116892, 116922
6, 8, 32768, 16384, 165.486485ms, 19.368ms, 116922, 116892
3, 8, 32768, 16384, 295.249493ms, 22.106ms, 116904, 116910
4, 8, 32768, 16384, 255.205581ms, 18.696ms, 116910, 116904
5, 8, 32768, 16384, 213.236889ms, 20.808ms, 116916, 116898
2, 8, 32768, 16384, 335.111623ms, 22.547ms, 116898, 116916
7, 8, 32768, 16384, 194.600921ms, 22.299ms, 116928, 116886
0, 8, 32768, 16384, 405.372264ms, 22.625ms, 116886, 116928
7, 8, 32768, 16384, 158.017336ms, 18.001ms, 116886, 116886
3, 8, 32768, 16384, 158.124078ms, 16.664ms, 116886, 116886
5, 8, 32768, 16384, 158.085715ms, 15.558ms, 116886, 116886
2, 8, 32768, 16384, 158.104732ms, 16.411ms, 116886, 116886
6, 8, 32768, 16384, 158.198287ms, 16.1ms, 116886, 116886
1, 8, 32768, 16384, 159.34786ms, 17.69ms, 116886, 116886
4, 8, 32768, 16384, 158.210731ms, 18.014ms, 116886, 116886
0, 8, 32768, 16384, 157.6683ms, 17.926ms, 116886, 116886
4, 8, 32768, 16384, 160.299189ms, 17.555ms, 116886, 116886
7, 8, 32768, 16384, 160.409125ms, 18.455ms, 116886, 116886
1, 8, 32768, 16384, 160.375332ms, 14.437ms, 116886, 116886
2, 8, 32768, 16384, 160.449291ms, 17.71ms, 116886, 116886
3, 8, 32768, 16384, 160.457587ms, 17.837ms, 116886, 116886
5, 8, 32768, 16384, 160.483345ms, 18.116ms, 116886, 116886
0, 8, 32768, 16384, 159.728586ms, 17.376ms, 116886, 116886
6, 8, 32768, 16384, 161.010477ms, 17.039ms, 116886, 116886
5, 8, 32768, 16384, 159.377456ms, 17.672ms, 116886, 116886
3, 8, 32768, 16384, 159.405478ms, 18.016ms, 116886, 116886
4, 8, 32768, 16384, 159.456555ms, 16.81ms, 116886, 116886
7, 8, 32768, 16384, 159.45441ms, 16.657ms, 116886, 116886
6, 8, 32768, 16384, 158.86925ms, 16.645ms, 116886, 116886
1, 8, 32768, 16384, 159.465191ms, 16.828ms, 116886, 116886
2, 8, 32768, 16384, 159.426609ms, 16.724ms, 116886, 116886
0, 8, 32768, 16384, 159.133296ms, 16.41ms, 116886, 116886
7, 8, 32768, 16384, 159.191796ms, 15.573ms, 116886, 116886
2, 8, 32768, 16384, 159.188259ms, 16.031ms, 116886, 116886
6, 8, 32768, 16384, 159.216332ms, 14.13ms, 116886, 116886
5, 8, 32768, 16384, 159.248743ms, 15.402ms, 116886, 116886
1, 8, 32768, 16384, 159.25245ms, 17.455ms, 116886, 116886
3, 8, 32768, 16384, 159.261557ms, 15.836ms, 116886, 116886
4, 8, 32768, 16384, 159.266226ms, 16.013ms, 116886, 116886
0, 8, 32768, 16384, 158.90644ms, 15.605ms, 116886, 116886
